expert,pipeline,n_confabulations,n_blend,n_paraphrase,n_misattribution,n_invention,mean_best_ratio,median_best_ratio
Caroline Woodcourt,transport,16,11,2,0,3,0.455,0.478
Caroline Woodcourt,embedding,8,5,1,0,2,0.459,0.587
Caroline Woodcourt,rag,7,6,1,0,0,0.595,0.556
Caroline Woodcourt,no_passages,69,43,25,0,1,0.472,0.474
Caroline Woodcourt,random,3,3,0,0,0,0.502,0.496
Daniel Rosen,transport,3,1,1,0,1,0.359,0.410
Daniel Rosen,embedding,13,10,0,0,3,0.500,0.587
Daniel Rosen,rag,19,15,4,0,0,0.535,0.541
Daniel Rosen,no_passages,33,20,13,0,0,0.483,0.473
Daniel Rosen,random,9,8,1,0,0,0.599,0.570
Edmund Leigh,transport,11,10,1,0,0,0.655,0.706
Edmund Leigh,embedding,7,5,1,0,1,0.488,0.556
Edmund Leigh,rag,15,6,9,0,0,0.467,0.423
Edmund Leigh,no_passages,39,21,17,0,1,0.453,0.453
Edmund Leigh,random,7,5,2,0,0,0.489,0.536
Eleanor Hartley,transport,17,13,3,0,1,0.556,0.575
Eleanor Hartley,embedding,5,5,0,0,0,0.536,0.515
Eleanor Hartley,rag,16,11,4,0,1,0.508,0.541
Eleanor Hartley,no_passages,48,34,13,0,1,0.493,0.497
Eleanor Hartley,random,9,8,1,0,0,0.585,0.613
Host,transport,1,1,0,0,0,0.504,0.504
James Blackstone,transport,8,5,3,0,0,0.576,0.466
James Blackstone,embedding,10,6,1,0,3,0.436,0.545
James Blackstone,rag,13,11,1,0,1,0.513,0.543
James Blackstone,no_passages,22,15,7,0,0,0.476,0.468
James Blackstone,random,8,6,2,0,0,0.539,0.574
Oliver Trevelyan,transport,7,6,1,0,0,0.580,0.593
Oliver Trevelyan,embedding,10,7,3,0,0,0.575,0.575
Oliver Trevelyan,rag,8,6,2,0,0,0.696,0.869
Oliver Trevelyan,no_passages,54,39,13,0,2,0.462,0.473
Oliver Trevelyan,random,9,7,1,0,1,0.551,0.564
